,name,artist,id,genre,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
376,Wyclef Jean,Young Thug,55OdqrG8WLmsYyY1jijD9b,atl hip hop,2016-08-26,65,0.863,0.576,5,-5.687,0,0.239,0.124,0.0,0.143,0.832,132.054,236293,4
377,Always On Time,Ja Rule,4hrae8atte6cRlSC9a7VCO,dance pop,2001-01-01,73,0.839,0.706,5,-6.104,0,0.199,0.208,0.0,0.242,0.839,96.673,245133,4
378,You Never Let Go,Matt Redman,3NNm7maZCjauZbXTsbXRj2,anthem worship,2006-01-01,43,0.364,0.714,11,-7.125,1,0.042,0.0816,1.02e-05,0.123,0.23,157.966,287427,4
379,Focus,Studying Music,6EPfz8e1Lo4GZ8OaelITUs,sleep,2012-02-16,9,0.314,0.329,9,-15.168,0,0.0381,0.975,0.943,0.0967,0.15,132.968,198035,4
380,Long Live A$AP,A$AP Rocky,60Mq4EumvcSXznNugo9Op3,east coast hip hop,2013,60,0.726,0.824,7,-5.011,0,0.345,0.584,1.14e-06,0.113,0.382,130.118,289587,4
381,Stoic,Penny and Sparrow,3hObuU3FHTivIo5VU0ttrG,acoustic pop,2014-04-22,27,0.223,0.0584,7,-16.43,1,0.0327,0.928,0.0322,0.116,0.129,86.848,287987,5
382,Better Dayz,2Pac,5dRCujBQZQq6dlkCaGDMV0,g funk,2002-01-01,60,0.752,0.735,1,-3.851,1,0.196,0.0876,0.0,0.14,0.635,90.87,257627,4
383,Worst Luck,6LACK,2wc4wFgsQUDD79jItn4cHs,alternative r&b,2016-11-18,53,0.327,0.518,5,-9.244,0,0.16,0.856,0.000795,0.116,0.153,177.869,206133,4
384,The Aristocats,Maurice Chevalier,4NDIiA6bvoLK5XRH9wMfde,cabaret,2017-09-11,0,0.69,0.416,0,-11.45,1,0.0605,0.848,0.0,0.195,0.936,120.107,139938,4
385,Running In Circles (feat. Will Reagan),United Pursuit,6pVNIjF6BdgZP0VvxWuq8P,anthem worship,2009-04-01,37,0.361,0.139,7,-11.53,1,0.0364,0.759,2.32e-05,0.135,0.129,109.777,316333,4
386,A Troll-Hoard,Howard Shore,2FwtDKoERLjMdY17JvkE3P,canadian classical,2012-01-01,31,0.182,0.282,2,-18.571,0,0.0382,0.318,0.92,0.241,0.0387,83.524,157160,4
387,Nobody Really Cares If You Don't Go to the Party,Courtney Barnett,4JtYo9qw1GrCKXePKF9wGg,australian indie,2015-03-18,0,0.427,0.927,9,-5.367,1,0.0696,1.74e-05,0.12,0.327,0.581,136.758,166080,4
388,No Words - Kasbo Remix,Erik Hassle,0vNfefOIs2tqP4EPHoSSmc,swedish pop,2015-08-07,16,0.563,0.68,6,-5.788,0,0.0975,0.419,6.33e-06,0.11,0.545,116.105,307813,4
389,You & I (Nobody in the World),John Legend,4m5lJ0ZOUqyx2DUCRycGFm,neo soul,2012,0,0.456,0.342,11,-8.162,0,0.0283,0.129,0.0,0.124,0.224,84.087,252653,4
390,Para No Verte Más,La Mosca Tse-Tse,19CmuECYssqkPWANF4nLWM,argentine rock,2000,73,0.658,0.815,0,-6.834,1,0.105,0.0168,0.0,0.341,0.837,99.276,191560,4
391,Red Rags,Tech N9ne Collabos,5MIBnP83GI7aWVWurr3T2g,country rap,2014-05-06,36,0.749,0.716,8,-6.509,1,0.166,0.0469,0.0,0.507,0.451,78.097,236840,4
392,Get Buck,Young Buck,1sL25mF0g1qMJbAPDfacum,crunk,2006-01-01,0,0.797,0.667,1,-6.095,0,0.158,0.545,0.0,0.0357,0.621,76.51,254493,4
393,Used to Love You Sober,Kane Brown,6V3wTb4VVDWRw3YEDgc6Py,black americana,2016-03-25,59,0.525,0.674,1,-6.053,1,0.0282,0.0405,0.0,0.339,0.431,147.978,181680,4
394,Born To Be Wild,Steppenwolf,63OFKbMaZSDZ4wtesuuq6f,acid rock,1968,73,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,210373,4
395,Get Away,The Internet,10SUWedx0zohs8M3OJpnA7,alternative r&b,2015-06-26,53,0.757,0.485,9,-12.309,1,0.0648,0.402,0.619,0.193,0.372,110.371,148707,4
396,The Writing's On the Wall,OK Go,0Y92O9tvsw9jYu7t1b4W6H,alternative rock,2015-02-18,0,0.547,0.968,7,-3.643,1,0.0545,0.0175,0.000589,0.704,0.638,103.027,214840,4
397,Unstoppable,Foxy Shazam,7inqk2aOungrJvYeBh2FQ8,cincinnati indie,2010-04-12,35,0.579,0.934,2,-3.343,1,0.0636,0.00217,3.58e-05,0.127,0.504,127.941,213586,4
398,Fall out of Love,Turnpike Troubadours,14AOQ6K7rjTZCauzWnMElS,red dirt,2015-09-18,37,0.596,0.324,4,-7.633,1,0.0265,0.444,8.86e-05,0.135,0.29,125.967,207307,3
399,It Has Begun,STARSET,36ECEkodXYhLPyBHjZCEHh,future rock,2014,63,0.254,0.724,5,-6.513,1,0.0675,0.00876,0.0012,0.186,0.123,127.888,316813,4
400,Your Biggest Fan,Never Shout Never,0L3di3gB5KlamEABLJK8KK,alternative pop rock,2009-11-03,43,0.738,0.308,0,-7.242,1,0.0419,0.944,0.0,0.131,0.531,124.979,210667,4
401,Good Time,Alan Jackson,0ghHCXGmbUb2xTof1u59aQ,contemporary country,2008-02-29,0,0.652,0.767,9,-10.445,1,0.0372,0.0355,6.92e-06,0.397,0.73,132.017,306773,4
402,Sleepwalker,Logan Henderson,0F5K748gQcSYvRDK5vjxZU,la pop,2017-01-27,24,0.628,0.65,9,-7.033,0,0.0379,0.000803,0.00018,0.101,0.394,143.061,251307,4
403,Waves,Mr. Probz,2gGIhNmn8NaUr3LNofUIBZ,dutch hip hop,2013-11-22,0,0.364,0.278,5,-12.262,0,0.0355,0.542,2.79e-05,0.38,0.2,173.652,174267,4
404,Pop That,French Montana,4GVD0FIBo08FSAy3tbIY7g,gangster rap,2013-01-01,51,0.734,0.892,2,-1.856,1,0.125,0.0648,0.0,0.58,0.605,138.031,303533,4
405,Heavy Games,Portugal. The Man,3cq8tOIHqX6xFjdeM4hGYL,indie rock,2014-01-01,22,0.526,0.533,2,-7.283,0,0.0243,0.417,0.874,0.372,0.176,104.956,197733,4
406,Toes,Zac Brown Band,5kjyiH6but1t2UDXq15aeS,contemporary country,2008-11-17,2,0.8,0.759,11,-5.398,1,0.0378,0.655,0.0,0.0897,0.821,129.979,262773,4
407,I'll Take That As A Yes (The Hot Tub Song),Phil Vassar,2f44w3kcYPm9NEVXmbCoTI,contemporary country,2000,23,0.653,0.76,7,-3.774,1,0.0284,0.0533,0.0,0.505,0.59,91.845,206147,4
408,Undo,The 1975,1LD52Nzt9wg1vB3F6gelPH,modern alternative rock,2013,43,0.351,0.712,6,-8.333,0,0.0375,0.00628,0.479,0.0768,0.352,129.028,244653,4
409,Shout at the Devil,Mötley Crüe,065KxjTN25jrlGiWPKprsb,glam metal,1983,0,0.507,0.949,0,-5.393,1,0.069,0.0222,0.000128,0.0824,0.47,94.843,194987,4
410,Concrete Jungle - Original Album Version,Bob Marley & The Wailers,0BTy3cSsHxNkEuxJENJfd5,reggae,1973-04-13,0,0.698,0.564,2,-11.293,1,0.111,0.384,0.00854,0.148,0.69,96.583,254676,4
411,Tell Me a Story,Grouplove,1HDtanuNt9EQv3qtBBC49p,indie pop,2017-04-22,32,0.344,0.381,6,-9.051,1,0.0289,0.0973,0.00446,0.0995,0.134,122.925,285867,3
412,Perfidia,Los Rabanes,6P187fxZ0btnCRTy5Xql2Y,latin alternative,2000-04-06,49,0.765,0.892,0,-5.093,1,0.0362,0.013,0.0,0.127,0.825,126.082,187640,4
413,I Just Can't Live a Lie,Carrie Underwood,4OsGGGnGDfO1KmUAI2wD71,contemporary country,2005-11-14,39,0.476,0.635,6,-4.824,1,0.0273,0.0372,0.0,0.12,0.283,153.866,238907,4
414,Hundred Miles,Judah & the Lion,7emcX6F3x5Y52FdjxesWhv,banjo,2012-06-19,0,0.256,0.324,0,-12.834,1,0.0295,0.0563,5.65e-06,0.134,0.123,141.171,385720,4
415,Til I Hear It From You,Gin Blossoms,59IMJ1XHmOXRFE072RQafl,alternative rock,1999-01-01,48,0.555,0.797,9,-6.653,1,0.0319,0.0645,0.0,0.322,0.652,124.396,230800,4
416,Crucify Me (feat. Lights),Bring Me The Horizon,3I0sLAfseLWFkRtGKxmrCc,melodic metalcore,2010-10-04,48,0.153,0.898,8,-6.145,1,0.168,0.000507,0.00446,0.106,0.0435,101.029,379520,4
417,Lost You Anyway,Toby Keith,21I6cqNPNd9Pnoe1netnfB,contemporary country,2008-01-01,0,0.44,0.733,9,-3.784,1,0.0354,0.189,0.00391,0.0968,0.326,75.053,218267,4
418,Rise of the Black Suits,Ghostface Killah,7wwN9tOAgdQpDWMGmsj2Ji,alternative hip hop,2013-04-16,0,0.473,0.658,5,-7.852,0,0.316,0.0681,0.0,0.0973,0.542,78.461,177480,4
419,Clouds (feat. Zach Sobiech),A Firm Handshake,40CJfuACP98IVW9aY6wAmh,minneapolis indie,2013-02-15,41,0.659,0.64,2,-6.544,1,0.0263,0.151,0.00477,0.109,0.211,96.935,179627,4
420,Keep Breathing,Ingrid Michaelson,1ILohAFQXEIWBqOg9ibCDI,acoustic pop,2008,0,0.519,0.308,7,-11.996,1,0.0331,0.776,0.00286,0.115,0.187,125.921,205587,3
421,Mind Mischief,Tame Impala,6ewQE1dNPv9qqlnB1CxrvM,australian psych,2012-01-01,61,0.25,0.942,6,-3.235,1,0.0545,0.0815,0.00097,0.367,0.822,161.333,271880,4
422,Tokka,Agnes Obel,22bk8cz4FrIpxR166zmXFk,chamber pop,2014-10-07,0,0.568,0.181,6,-19.451,0,0.0283,0.993,0.935,0.103,0.351,85.892,89520,4
423,OJ,Jeezy,6F7UbKiVmT0uVTK64JrVfx,atl hip hop,2011-01-01,35,0.494,0.855,6,-5.832,0,0.512,0.0967,0.0,0.167,0.474,92.478,244107,4
424,"I Got Nerve - Live from Arrowhead Pond, Anaheim, U.S.A./2008",Hannah Montana,1YDHv7YbbTckWbDTf1BD1k,dance pop,2008-01-01,23,0.449,0.971,3,-3.276,1,0.0603,0.00255,1.85e-06,0.948,0.605,144.848,190853,4
425,Bad Boy,Miranda Lambert,1eHifcjfEVzfR8rfUTlK9d,contemporary country,2016-11-18,29,0.477,0.877,9,-6.117,1,0.0665,0.0474,2.78e-05,0.109,0.646,154.238,280893,4
426,Universal Fanfare,The Minions,2uvyFGlbdgqee0mKYXPXn2,cartoon,2015-09-23,0,0.332,0.506,8,-10.313,1,0.0666,0.572,0.584,0.702,0.33,81.631,32413,4
427,Dirty Vibe,Skrillex,00k4IcdhoUtt3fBATrDyhh,brostep,2014-03-14,52,0.795,0.982,6,-0.737,1,0.191,0.108,0.00811,0.526,0.533,159.982,206680,4
428,Get Down Low (feat. Ohana Bam),Snow Tha Product,05ApEAT889haImO4kMB6Z1,rap latina,2016-06-03,42,0.965,0.784,5,-4.287,1,0.122,0.589,1.89e-05,0.564,0.872,120.985,207851,4
429,Disco Inferno,The Trammps,3GXo1eWlT2flv4x01l5OTu,disco,2016-06-17,61,0.676,0.704,10,-8.534,1,0.0329,0.000362,0.0709,0.139,0.812,129.594,213840,4
430,Little Moments,Brad Paisley,3hUL1sPjrLFXS6mUfEDs2Q,contemporary country,1999,0,0.512,0.468,9,-9.14,1,0.0276,0.251,1.37e-06,0.321,0.372,156.936,219267,4
431,illuminatro,Logic,0cdXG7PwSUOv19gF6dMv5n,conscious hip hop,2016-07-01,41,0.416,0.263,8,-17.614,1,0.228,0.522,0.739,0.388,0.152,82.099,48133,5
432,Baroque Hoedown,Perrey and Kingsley,44pXIgdwWjrTRUW2oN4u5I,exotica,1966,25,0.721,0.651,5,-14.59,1,0.0376,0.312,0.00807,0.0535,0.929,92.506,147000,4
433,Serial Doubter,Penny and Sparrow,0EGm5d8JEGAMqN1nHZ7Jh1,acoustic pop,2014-04-22,29,0.261,0.376,7,-11.451,1,0.0329,0.829,0.0168,0.115,0.0628,119.914,204213,4
434,Both Sides,NAV,0RRAHU9Dkui4ZuroPk7XF3,canadian hip hop,2017-07-21,49,0.751,0.483,1,-8.744,1,0.311,0.289,0.000342,0.197,0.274,140.099,208867,4
435,White Flag - Live,Passion,5YNmknKdW8Ye3Op3fNu3Z6,anthem worship,2012-01-01,32,0.397,0.744,8,-5.174,1,0.0361,0.000255,0.000203,0.425,0.143,166.069,303800,4
436,You Are The Beauty,Gungor,4EKs4KYHtKRkyYuuNcIe6o,christian indie,2011-09-19,18,0.514,0.504,11,-9.693,0,0.0357,0.374,0.0284,0.0759,0.21,135.414,287480,4
437,The Way It Is,Nicole Atkins,09MsgW1KQvWsPjizGEkcOP,pop soul,2007-12-11,0,0.271,0.55,0,-5.045,1,0.0333,0.0155,0.0,0.315,0.14,64.211,216907,4
438,La Mosca,Los Horóscopos De Durango,596ofldo42pTziV8CFX0x4,corrido,2012-01-01,0,0.73,0.783,9,-1.787,1,0.0618,0.483,0.000391,0.0204,0.973,148.113,146280,3
439,Coming Home (feat. Sons of the East),BUNT.,3yV2bUZuqZLJ79cSbAKpNN,deep tropical house,2016-05-06,41,0.463,0.698,3,-4.892,1,0.0463,0.15,0.0,0.318,0.241,124.96,258201,4
440,Make You Mad,Fifth Harmony,2dRBaaPkV67jwPBtCmZTQl,dance pop,2017-08-25,19,0.785,0.701,7,-4.587,1,0.0935,0.163,0.0,0.0835,0.601,100.947,174507,4
441,Coward Of The County,Kenny Rogers,2UpYSZeFdpfnXL0NCEqQnP,adult standards,1979-10-10,0,0.665,0.433,7,-12.721,1,0.0524,0.126,9.46e-06,0.172,0.676,91.877,258733,4
442,Lonely Lullabies,Kweku Collins,7BLBIXwIOXPSpTOh1YnKSA,underground hip hop,2015-07-21,0,0.558,0.827,9,-6.595,0,0.14,0.0822,0.000175,0.319,0.156,150.156,205984,4
443,King of the World,First Aid Kit,5g6QHlE01E69wL99ny45x3,stomp and holler,2012-01-23,0,0.502,0.753,0,-4.764,1,0.0372,0.0227,0.0,0.0845,0.523,104.623,218840,4
444,The Cold,Exitmusic,4TmWpGMAmWReP5Dbv4Rt7K,etherpop,2012-05-22,18,0.378,0.455,9,-10.143,0,0.0311,0.49,0.939,0.154,0.11,131.932,187400,4
445,You Can Be All Kinds of Emotional,The Lone Bellow,7lBFvCywkKG7NdUD6Csffv,deep new americana,2013-01-22,26,0.459,0.396,7,-11.314,1,0.0428,0.513,5.66e-05,0.248,0.164,94.49,200307,4
446,Tu Jueguito,Aventura,60ZPX5gGSVOz8mH64M0uXM,bachata,2010-04-06,37,0.751,0.461,5,-9.66,0,0.0469,0.303,0.0,0.279,0.874,120.538,222053,4
447,Designated Drinker (with George Strait) - A Duet With George Strait,Alan Jackson,7g9YLSMScVdHQNPyUijl8S,contemporary country,2002-10-24,31,0.719,0.639,7,-7.357,1,0.0251,0.0241,9.23e-05,0.386,0.64,125.158,230827,4
448,Romantic (feat. Tiwa Savage),Korede Bello,5NOH1b1GanDHuc4pwhoPR1,afro dancehall,2016-01-05,49,0.764,0.593,1,-4.026,1,0.0456,0.0886,0.000296,0.0621,0.251,103.993,225933,4
449,Do You Wanna Do Nothing with Me?,Lawrence,543esqtLQe6Snzxej1QnPM,nyc pop,2017-02-24,0,0.549,0.611,1,-9.0,0,0.131,0.17,0.00251,0.0762,0.725,201.981,251853,4
450,Single Ladies (Put a Ring on It) - Live,Beyoncé,0656Ba4hb119dMJkx7zJ3N,dance pop,2010-11-26,39,0.628,0.894,11,-5.448,0,0.137,0.018,3.52e-05,0.922,0.198,97.083,262920,4
451,No Surprise,Daughtry,4UtHw3YzKUVxouN9zOG0ly,alternative metal,2009-05-04,0,0.484,0.784,8,-3.976,1,0.0308,0.00987,0.0,0.0986,0.141,95.937,249920,4
452,Revolution,Flogging Molly,7c0CWaA6Ssn1QuqEtGz3uk,celtic punk,2011-05-27,15,0.378,0.959,2,-4.637,1,0.0519,0.0077,0.0,0.273,0.783,190.04,193093,4
453,The Blood Legion,In This Moment,01jOQLIwqOwMvZVqqxzYht,alternative metal,2012-08-14,36,0.44,0.718,9,-7.119,0,0.057,0.0911,5.36e-05,0.159,0.112,150.051,269333,4
454,The Panties,Mos Def,1g4Yn8JqoHz6kmOUxDWJ2T,alternative hip hop,2004-01-01,0,0.433,0.552,11,-7.153,1,0.0454,0.524,0.00124,0.272,0.211,84.625,251187,4
455,Raw - Original Mix,Fedde Le Grand,7ow1Zvtd9rXC7hyKKDLPWQ,dance pop,2013-01-01,0,0.644,0.973,7,-4.344,1,0.0819,0.00124,0.394,0.529,0.4,127.999,339492,4
456,Healing Is In Your Hands,Christy Nockels,7tCM1TlYjk48B6zkks2I3f,ccm,2011-01-01,5,0.134,0.578,2,-6.352,1,0.036,0.0139,0.0,0.124,0.212,171.669,238388,4
457,Feels Like The First Time,Corinne Bailey Rae,2BOV6xcJpo7x02O2YOPtlA,british soul,2010-01-01,7,0.522,0.647,11,-9.019,0,0.0936,0.314,0.000407,0.116,0.603,91.954,193400,4
458,I Can Feel You,Bethel Music,5IJBKjDJFVvu6fn5EZifkN,ambient worship,2014-02-25,0,0.464,0.613,3,-8.201,1,0.0274,0.0987,0.000761,0.101,0.0948,89.987,452667,4
459,Three Thirty,Eighty Ninety,3QEXz3VrVDYXko90MtCcHE,brooklyn indie,2016-03-11,36,0.697,0.435,1,-8.297,0,0.0426,0.265,0.0356,0.119,0.811,145.883,215027,4
460,Jose Cuervo,Shelly West,5i3m1HZBzurdMu9zzjBY7r,classic country pop,1983-01-01,1,0.697,0.588,7,-9.416,1,0.0759,0.305,0.0,0.117,0.816,115.339,162840,4
461,King of the Rodeo,Kings of Leon,6hkLTi1pq5xZT8aOlT5ysd,modern rock,2004-11-09,0,0.595,0.911,9,-5.458,1,0.0314,0.0108,0.00229,0.0788,0.713,151.295,145520,4
462,The Dog Song,Nellie McKay,62RFNrk6pZ3eQz9eaah1OM,anti-folk,2004,29,0.708,0.384,10,-9.117,0,0.285,0.179,0.0,0.114,0.353,144.238,184000,4
463,Take My Hand,The Cab,5eHKOG5c9BpOJbgihpjlHB,neon pop punk,2008-04-07,36,0.494,0.857,10,-4.317,1,0.0438,0.000199,0.0,0.0776,0.491,137.996,207920,4
464,Look How He Lifted Me,Elevation Worship,0B03fxtlHqATqFyy50mxKU,ccm,2014-11-25,42,0.532,0.867,7,-6.152,1,0.109,0.206,0.0,0.82,0.3,114.02,265954,4
465,No Drama Queen - Paper Towns Soundtrack Version,Grouplove,1lLWKu2cz62YJvnTxNJGFM,indie pop,2015-06-23,27,0.481,0.787,4,-5.132,1,0.0312,0.0106,0.000646,0.0881,0.773,143.09,164333,4
466,Drinkin' Town With A Football Problem,Billy Currington,1vMnUuz3iSTaI1XGwVEJUI,contemporary country,2015-06-02,44,0.551,0.898,6,-3.518,1,0.0363,0.00394,0.000128,0.154,0.445,122.048,253187,4
467,Fly,Sleeping With Sirens,78v4gq9OnRtbA6VqjLjnFc,metalcore,2015-03-17,45,0.336,0.954,11,-4.188,0,0.152,0.0325,0.0,0.0529,0.25,104.131,215078,4
468,Jenny from the Block (feat. Jadakiss & Styles P.) - Bronx Remix - Edit,Jennifer Lopez,52cWiUTOygmhwVqdHeVLgu,dance pop,2002-11-13,12,0.864,0.742,6,-4.116,1,0.177,0.00746,0.000248,0.0752,0.961,100.029,170253,4
469,All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,dance pop,1994-11-01,83,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,4
470,The Only Way Is Up - Radio Edit,Martin Garrix,4YWxyVZf6PVPslFLbqY56j,dance pop,2016-09-02,4,0.593,0.81,1,-5.976,0,0.0341,0.0145,0.944,0.0906,0.173,128.067,189390,4
471,Gold,Wake Owl,2xbmLKnfGYTkzWRUX3DUpG,stomp and holler,2012-01-01,24,0.483,0.587,11,-8.813,0,0.0296,0.12,0.00346,0.12,0.389,86.018,224093,4
472,Anything for You,Chelsea Cutler,6vw0UxeHGLCRhWhOZdFxjh,alt z,2015-12-24,0,0.549,0.442,2,-14.569,1,0.116,0.861,0.000315,0.0893,0.0437,126.028,201905,4
473,Just Like That (feat. Johnny Graves),Pegboard Nerds,0QCoA8f4gK0lGtGzCIrBjg,brostep,2015-10-23,0,0.405,0.768,0,-5.387,1,0.0898,0.0422,0.0,0.13,0.338,159.988,203569,4
474,You Were Meant For Me,Jewel,6kBU9uWqar0Fw2Ws0he11A,alaska indie,1995,0,0.582,0.33,6,-7.928,1,0.0347,0.791,1.48e-06,0.105,0.407,111.873,254480,4
475,Meet Me at the Corner,Red Hot Chili Peppers,6GhCgeJo1rY8VWppJZta38,alternative rock,2011-08-29,46,0.694,0.602,0,-5.411,0,0.035,0.243,1.03e-05,0.124,0.413,112.735,261467,4
476,Alone - Maor Levi Remix,Cosmic Gate,1Rb170PlqVjI38Y3XgyZ7F,edm,2014-11-10,11,0.603,0.905,4,-5.36,1,0.0641,0.000148,0.00507,0.138,0.266,127.98,323203,4
477,Romance,SHINee,5lKUNcEEvaypDufC3gpKVJ,k-pop,2015-05-18,0,0.652,0.863,6,-4.854,1,0.0749,0.00689,0.0,0.104,0.905,123.943,216009,4
478,Holy (Wedding Day),The City Harmonic,7c08ZUe0FwPcuwbkIHdbqm,anthem worship,2011-10-16,39,0.294,0.286,10,-7.697,1,0.0333,0.869,0.000145,0.111,0.147,117.759,258947,4
479,Love - Remastered 2012,The Smashing Pumpkins,1zVqcVaYjPxKDhMFFrJfRn,alternative metal,1995-12-12,0,0.514,0.659,5,-10.074,0,0.0272,0.000171,0.824,0.11,0.257,95.173,262760,4
480,100 Degrees (feat. Quinn XCII),KOLAJ,3nBafwYhrGmiZS5NtVrljY,indie poptimism,2016-02-16,28,0.712,0.904,7,-4.144,1,0.0581,0.0206,0.000294,0.116,0.451,111.944,251250,4
481,up in this (with Tinashe),blackbear,1uHACkBD8IHBmrkTrk6You,pop,2017-11-27,23,0.731,0.697,5,-6.097,0,0.0665,0.0528,0.0,0.128,0.488,128.004,204279,4
482,Callin' Out,Lyrics Born,3cq68LrfebgBW4sgXHtHOF,alternative hip hop,2003-08-05,48,0.855,0.673,10,-4.311,0,0.295,0.171,0.0,0.109,0.949,94.91,214347,4
483,Sick and Tired,Pasadena,3Htty2qlWxGD5xcCSr9OSs,east coast reggae,2008-01-01,0,0.692,0.222,5,-12.272,1,0.0519,0.918,0.0,0.098,0.377,113.186,152533,4
484,Towering,Seryn,01YLcHPbNfQpWqEA1QgjAl,denton tx indie,2011-01-25,0,0.247,0.372,2,-10.017,1,0.0284,0.471,0.224,0.0869,0.0388,144.966,322187,4
485,The Power,SNAP!,6C7qa5RQQOTPYqrnayRfS3,diva house,1990-01-01,0,0.735,0.893,0,-7.632,1,0.0586,0.0437,0.00717,0.335,0.72,108.902,228991,4
486,People,AJJ,3Eo5aikNAm30VhnOBlDSpj,acoustic punk,2011-02-15,19,0.584,0.553,2,-8.735,1,0.0489,0.29,0.0,0.158,0.55,150.662,93840,4
487,Niña Bonita,Chino & Nacho,1Evv1979G5y63oK9K2eot9,electro latino,2010-01-01,0,0.676,0.917,9,-4.897,1,0.125,0.285,0.0,0.176,0.727,120.014,215827,4
488,You Too,Lightshow,6amSiXmLbJs3m40zLOtR7E,dmv rap,2015-09-25,10,0.963,0.804,11,-4.252,0,0.143,0.0755,0.0,0.0554,0.776,114.013,238289,4
489,Whatever Comes,Rend Collective,1uCVpUO24T2ukRcU0TCfFu,anthem worship,2016-10-07,36,0.534,0.377,2,-10.233,1,0.0358,0.85,0.0,0.355,0.217,128.758,250907,4
490,I Turn To Christ,Passion,2Wa9dVMthcSROYsBAo8gJF,anthem worship,2016-01-01,23,0.346,0.639,5,-5.722,1,0.0319,0.00985,2.66e-05,0.145,0.142,92.938,313293,4
491,Geronimo,Sheppard,0qt5f5EL92o8Snzopsv0en,australian indie,2015-01-12,69,0.705,0.78,7,-6.267,1,0.0805,0.456,0.00152,0.115,0.457,142.028,218228,4
492,Games,Alex Wiley,5mBLsGeDozivo9EmIBid2H,chicago rap,2016-06-12,46,0.763,0.732,1,-6.87,1,0.22,0.197,0.000133,0.526,0.452,129.064,156269,4
493,It's Beginning to Look a Lot Like Christmas,Bing Crosby,4NhjQIzlnVxEGcTPbeDbAp,adult standards,2013-11-08,0,0.377,0.331,0,-10.672,0,0.0361,0.836,0.00042,0.115,0.567,92.829,166786,4
494,Serena,Dreezy,4MsSXv9FoXQ1ow5jOtpABc,chicago rap,2015-12-25,28,0.92,0.417,1,-5.831,1,0.0854,0.0116,0.0,0.108,0.238,139.956,233760,4
495,Misery of Mankind,Theory of a Deadman,0RmkQM1wwtnAZwCyCl2GYg,alternative metal,2014-07-08,33,0.555,0.958,4,-3.321,0,0.0676,0.000336,8.52e-05,0.196,0.639,135.938,203547,4
496,Trust,Flume,5GmpXxQblFKLt74paopo0W,australian dance,2016-11-25,0,0.425,0.892,0,-5.199,1,0.268,0.0333,0.001,0.312,0.127,107.074,197132,4
497,Turn My Swag On,Soulja Boy,6ATrsVaZT7XjkCynxM8cTS,atl hip hop,2008-01-01,60,0.546,0.712,3,-3.104,0,0.0269,0.000969,0.0,0.406,0.489,150.154,206333,4
498,Flesh And Bone,Keaton Henson,1HLcVnTSVC1WtKkNgjSNgp,ambient folk,2010,43,0.52,0.105,9,-10.399,1,0.041,0.575,0.0,0.119,0.0577,132.403,272653,4
499,Roses and Violets,Alexander Jean,5EN89ZY4L6GgwDjyltwqcI,la pop,2016-06-03,21,0.554,0.406,9,-5.295,1,0.0325,0.383,0.0,0.286,0.334,126.095,221620,3
500,"""Who Cares!""",Stephen Sondheim,6SK13igF0AX1cs2SbQZSO8,broadway,2014-01-01,28,0.121,0.024,10,-31.97,1,0.0437,0.436,0.81,0.302,0.0457,75.641,30413,1
501,King and Cross,Ásgeir,4MQA3csVgMgeuI1Hm1JnJL,icelandic folk,2013-12-09,0,0.46,0.468,1,-11.107,0,0.0394,0.258,0.00695,0.0931,0.376,99.981,213507,3
502,Silent Night,Elvis Presley,6cw1OgKsuEWQbmQb5Z4a3T,rock-and-roll,1957-10-15,47,0.269,0.0314,10,-23.411,1,0.0351,0.96,0.0678,0.113,0.176,135.49,145000,3
503,"You Need Me, I Don't Need You",Ed Sheeran,5KL4iZkCTZyXl7KnHgfVDj,pop,2011-09-09,66,0.749,0.837,7,-8.837,1,0.0512,0.162,0.0,0.525,0.927,103.483,220413,4
504,Seven Bridges Road - Live; 2013 Remaster,Eagles,50pX7Pp17QyiH1isbv9EJ6,album rock,1985,45,0.323,0.286,7,-12.884,1,0.0427,0.565,0.0,0.956,0.29,112.418,184800,5
505,Black Smif-n-Wessun,Black Moon,3McXZydHoGEtgPQ5o6WBfc,alternative hip hop,1993,0,0.783,0.598,6,-11.511,1,0.337,0.317,0.00378,0.376,0.743,93.028,261107,4
506,L.A.LOVE (la la) [feat. YG],Fergie,5h2nC1QYVpK0AJra70Ja3p,dance pop,2017-09-22,69,0.509,0.482,7,-6.965,1,0.176,0.0186,0.0,0.238,0.301,101.042,211512,4
507,Free Ride,The Edgar Winter Group,4MlXFjRO6N7NXvMqPlH35o,album rock,1972-05-09,52,0.674,0.686,2,-11.927,1,0.0597,0.29,0.00322,0.189,0.814,124.204,187173,4
508,Soy Tu Amor,Shelly Lares,55zgObvZ7XMPzYEq4XqfZ5,tejano,2014-08-05,31,0.672,0.672,9,-8.219,1,0.0331,0.245,2.16e-06,0.23,0.968,88.04,205560,4
509,Hibernation Day,Jars Of Clay,2OYpSgKDLA2PbT20X256Om,ccm,2007-10-01,17,0.572,0.389,4,-8.198,0,0.0275,0.0896,0.0,0.0827,0.315,107.083,179453,4
