,name,artist,id,genre,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
30,Tell Me You Love Me,Demi Lovato,5Htb1uFQ1KrkFXlefS8oGj,dance pop,2017-09-29,0,0.516,0.592,3,-5.465,0,0.0566,0.0247,0.0,0.181,0.271,82.05,236987,4
31,Erbody But Me,Tech N9ne,3kW5Rq9AIL0QQuYTSKNkQw,hip hop,2016-12-09,62,0.823,0.705,10,-4.73,0,0.282,0.0274,0.0,0.0919,0.836,186.12,197053,4
32,You Don't Mess Around With Jim,Jim Croce,0Z97JEXHiXXHpc4blFKQc6,album rock,1972-01-01,0,0.699,0.782,4,-5.203,1,0.0567,0.569,1e-05,0.0921,0.97,164.817,183067,4
33,I Don't Know (feat. Sophia Enggren),Azad Right,6Ywm6brYQsDJ0xV0jXy3Xq,indie pop rap,2014-12-09,18,0.54,0.772,6,-6.094,1,0.175,0.0569,0.0,0.169,0.106,87.044,226207,4
34,Chrome,Trace Adkins,3XxhDmIQ8utTiLokcA7iFL,contemporary country,2001-01-01,35,0.566,0.841,9,-7.171,1,0.0351,0.092,9.76e-06,0.172,0.804,89.968,202827,4
35,Out in the Streets - EP Version,The Downtown Fiction,3dttE51optrHZBOue2V8km,alternative pop rock,2011-12-20,7,0.626,0.793,10,-5.642,0,0.0511,0.00191,1.74e-06,0.0922,0.842,125.989,155375,4
36,Angry Chair,Alice In Chains,5jCp5VtcpUlHtW8Dwlx13Y,alternative metal,1992-09-29,53,0.325,0.936,8,-6.295,1,0.0848,0.0419,0.0,0.0415,0.159,106.988,287800,4
37,Every Rose Has Its Thorn - Remastered 2003,Poison,43GS3mtezoIFiuIZCLLiDY,album rock,1988-03-21,71,0.533,0.637,6,-5.571,1,0.0323,0.16,1.12e-05,0.369,0.292,140.167,260173,4
38,Yes,Beyoncé,4iE0yDu3gwAzSyaRNavj2V,dance pop,2003-06-23,1,0.638,0.377,9,-11.195,1,0.346,0.114,9.19e-06,0.302,0.562,112.439,259093,4
39,Live Until I Die,Clay Walker,39B9IpMNTUDOzW0JuVHlq4,contemporary country,1993,45,0.703,0.604,3,-11.321,1,0.0315,0.236,0.0,0.163,0.64,133.052,169773,4
40,Divine Intervention (feat. J.R.),Lecrae,1wWRYRlkoGnHgsazrZ72Sy,ccm,2010,0,0.531,0.75,5,-6.656,0,0.141,0.0825,0.0,0.407,0.272,84.911,231947,4
41,Brothers On The Slide,Cymande,6cBhKpoE1GNqEtwqGScyBy,afrobeat,2013-08-16,59,0.789,0.602,7,-10.192,0,0.198,0.3,0.00549,0.0737,0.804,109.923,251400,4
42,Don't U Want Me,Young Franco,4hz3iZ9KnjocHktBb3mAaX,aussietronica,2016-01-22,28,0.895,0.461,8,-8.487,0,0.625,0.218,0.0,0.195,0.581,118.04,207858,4
43,Me And You,Troy Ave,5xm9WxqeBKTVf6JFmNkIHx,trap,2014-05-05,13,0.461,0.719,0,-6.145,0,0.3,0.0321,0.0,0.281,0.621,152.688,234987,4
44,"Oh, Calamity!",All Time Low,40t2E0HHaaUTp0dolN4dNp,modern rock,2013-09-30,0,0.524,0.895,7,-4.625,0,0.0423,0.00835,0.0,0.0879,0.557,157.053,226328,4
45,Chum,Earl Sweatshirt,6plT7nFGiXKSBP9HFSI4ef,alternative hip hop,2013-08-16,63,0.51,0.503,10,-8.756,0,0.242,0.0216,0.002,0.108,0.193,153.582,243773,4
46,Se7en - Compilation Edit,Nicky Romero,75sysoeRPqTRA6WiU61DX3,big room,2012,9,0.668,0.848,7,-5.712,1,0.0468,0.074,0.837,0.285,0.798,128.026,165941,4
47,"Dangerous (Pt. 2) [feat. Trey Songz, Chris Brown & Sam Martin]",David Guetta,0gSuJxAI4cf8FB7qcbCb2i,big room,2014-12-19,22,0.572,0.79,4,-4.263,0,0.0524,0.226,0.0,0.385,0.462,91.982,213261,4
